Lista_Unique_identifiers,Summary_EN,Summary_ES
116480,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Methylprednisolone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
70627,No interactions due to cytochrome P450 metabolism or renal secretion expected.,""
67198,"Coadministration has not been studied but based on metabolism and clearance, a clinically significant interaction is unlikely. Isoniazid is acetylated in the liver to form acetylisoniazid which is then hydrolysed to isonicotinic acid and acetylhydrazine.",""
67346,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as cidofovir is mainly eliminated unchanged renally.,""
67564,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. The exact metabolic pathway of pentamidine has not been clearly established. Data from animal studies suggest the involvement of CYPs 1A1, 2D6 and 2C19 in the oxidative metabolism of pentamidine. ",""
67518,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as cetirizine is only metabolised to a limited extent and is eliminated unchanged in the urine through both glomerular filtration and tubular secretion.,""
116481,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Mometasone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
116484,Coadministration with dolutegravir/lamivudine has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. When prednisone (more than 80% of which is converted to prednisolone by first pass hepatic metabolism) was coadministered with dolutegravir there was no clinically significant effect on the pharmacokinetics of dolutegravir. No interaction is expected with lamivudine.,""
67827,Coadministration has not been studied but based on the metabolism and clearance a clinically significant drug-drug interaction is unlikely as lorazepam is mainly glucuronidated.,""
67857,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Theophylline is mainly metabolized by CYP1A2.,""
116487,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Testosterone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
67926,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Drug-drug interaction studies suggest that milk thistle has limited clinical impact on substrates of CYP3A, P-gp, UGT and OATP.",""
67942,Coadministration has not been studied. Alcohol is metabolized by alcohol dehydrogenase and aldehyde dehydrogenase. The chronic use of alcohol may induce CYP2E1 and to a lesser extent CYP3A4. No a priori clinically relevant drug-drug interaction is anticipated. ,""
114546,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Argatroban undergoes metabolism in the liver via hydroxylation and aromatization. In vitro studies indicate that CYP3A4 plays a role in argatroban metabolism, however, human drug-drug interactions studies suggest that metabolism via CYP3A4 is not a major elimination pathway in vivo. Erythromycin (a strong CYP3A4 inhibitor) had no effect on argatroban pharmacokinetics and pharmacodynamics and an interaction with atazanavir is unlikely.",""
67961,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Non-pegylated interferon alpha appears to be metabolized principally in the kidney.,""
75022,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Trospium is minimally metabolized and is mainly eliminated unchanged renally, in part by OCT2.",""
67985,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as gemfibrozil is metabolised mainly by UGT2B7.,""
68026,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as megestrol acetate is mainly eliminated in the urine.,""
116488,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Triamcinolone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with lamivudine.,""
68046,Coadministration has not been studied but may decrease testosterone concentrations. A dose adjustment of testosterone may be required. ,""
116556,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Azithromycin is mainly eliminated via biliary excretion and animal data suggest this may occur via P-glycoprotein and MRP2. In vitro data indicate that dolutegravir does not inhibit P-glycoprotein and MRP2 at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
116555,"Coadministration has not been studied. Renal clearance of ampicillin occurs partly by glomerular filtration and partly by tubular secretion; it is reduced by probenecid. About 20 to 40% of an oral dose may be excreted unchanged in the urine in 6 hours. After parenteral use about 60 to 80% is excreted in the urine within 6 hours. No interaction is expected with dolutegravir or abacavir. As lamivudine is eliminated by renal tubular secretion, there is potential for competition with ampicillin for renal transporters, which could lead to increased levels of either drug when ampicillin is administered intravenously. When administered orally, there is little potential for significant interaction. ",""
116552,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Quinidine is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
116553,Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as amikacin is eliminated by glomerular filtration. ,""
116554,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Amoxicillin is mainly excreted in the urine by glomerular filtration and tubular secretion. In vitro data indicate that amoxicillin is a substrate of OAT3, but dolutegravir is not expected to inhibit this renal transporter and lamivudine is eliminated by OCT2. No interaction is expected with abacavir.",""
116557,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bedaquiline is metabolised by CYP3A4 and mainly eliminated in faeces. Concentrations are unlikely to be affected by dolutegravir, abacavir or lamivudine. There are no clinical data on the safety and efficacy of bedaquiline when co-administered with antiretroviral agents.",""
116558,"Coadministration has not been studied. Capreomycin is predominantly excreted via the kidneys as unchanged drug, partly by glomerular filtration and possibly partly by tubular secretion (renal transporter not identified). There is some potential for exposure of capreomycin to be increased since dolutegravir inhibits the renal transporter OCT2. No interaction is expected with abacavir. As capreomycin may potentially compete with lamivudine for renal elimination transport mechanisms, levels of capreomycin or lamivudine may hypothetically be raised. Renal function should be monitored as clinically appropriate.",""
116559,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Cefalexin is predominantly eliminated unchanged via the kidneys (by glomerular filtration and tubular secretion via OAT1 and MATE1). Dolutegravir is not expected to inhibit these renal transporters and lamivudine is eliminated by different renal transporters. No interaction is expected with abacavir.,""
116602,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Telithromycin is metabolized by CYP3A4. Dolutegravir does not affect CYP enzymes. No interaction is expected with abacavir or lamivudine.,""
116831,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Alprazolam is mainly metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
116832,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bromazepam undergoes oxidative biotransformation. Drug-drug interaction studies indicate that CYP3A4 plays a minor role in bromazepam metabolism, but other cytochromes such as CYP2D6 or CYP1A2 may also play a role. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.",""
116605,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Vancomycin is excreted unchanged via renal glomerular filtration. No interaction is expected with dolutegravir or abacavir and there is little potential for an interaction via competition with lamivudine for active renal transport mechanisms.,""
68162,"Coadministration has not been studied. Apomorphine is metabolized by several pathways that include mainly glucuronidation and sulfation and to a lesser extent N-demethylation. Although protease inhibitors have the potential to induce glucuronidation, the clinical relevance of such an interaction is unknown considering the numerous pathways contributing to apomorphine metabolism. No a priori dosage adjustment is required.&nbsp;However, use with caution due to the risk of QT interval prolongation reported for both drugs.",""
116833,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Buspirone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
116606,Coadministration has not been studied but based on metabolism and clearance a significant interaction is unlikely. Acenocoumarol is mainly metabolized by CYP2C9 and to a lesser extent by CYP1A2 and CYP2C19. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
116607,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Apixaban is metabolized by CYP3A4 and to a lesser extent CYP1A2, CYP2C8, CYP2C9 and CYP2C19. Dolutegravir is mainly metabolized by UGT1A1 and is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.",""
116834,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Chlordiazepoxide is extensively metabolized by hepatic microsomal enzymes. Dolutegravir is not expected to inhibit or induce CYP450 or UGT enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
116835,"Coadministration has not been studied. Clobazam is metabolised by CYP3A4 (major) and CYP2B6 and CYP2C19 (minor) to the active metabolite N-desmethylclobazam, which is metabolised by CYP2C19. Clobazam is a weak inducer and could potentially decrease dolutegravir exposure although to a limited extent. No interaction is expected with abacavir or lamivudine.",""
116836,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Clorazepate is rapidly converted to nordiazepam which is then metabolized to oxazepam by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
68339,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Halothane undergoes both oxidative and reductive metabolism by cytochromes. In vitro data have shown that oxidation occurs mainly via CYP2E1 and to a lesser extent CYP2A6 and reduction via CYP2A6 and CYP3A4. Furthermore, in vivo studies have shown a minimal effect of CYP3A4 inhibitors on halothane elimination. ",""
117222,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Testosterone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
68736,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely. Saquinavir is metabolised by CYP3A4. Peginterferon alfa-2a has no effect on CYP3A4. The metabolism of peginterferon alfa-2a is not fully characterized, however, studies in rats indicate that the kidney is a major organ for excretion.",""
68734,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Nevirapine is metabolised by CYP3A4 which is not affected by peginterferon alfa-2a.The metabolism of peginterferon alfa-2a is not fully characterized, however, studies in rats indicate that the kidney is a major organ for excretion.",""
69159,"Based on the results of in vitro experiments and the known elimination pathways of emtricitabine, the potential for CYP450 mediated interactions involving emtricitabine with other medicinal products is low.",""
68691,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely. Lopinavir is metabolised by CYP3A4. Peginterferon alfa-2a has no effect on CYP3A4. The metabolism of peginterferon alfa-2a is not fully characterized, however, studies in rats indicate that the kidney is a major organ for excretion.",""
68729,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely. Indinavir is metabolised by CYP3A4. Peginterferon alfa-2a has no effect on CYP3A4. The metabolism of peginterferon alfa-2a is not fully characterized, however, studies in rats indicate that the kidney is a major organ for excretion.",""
68735,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely. Ritonavir is metabolised by CYP3A4. Peginterferon alfa-2a has no effect on CYP3A4. The metabolism of peginterferon alfa-2a is not fully characterized, however, studies in rats indicate that the kidney is a major organ for excretion.",""
68771,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Olanzapine is metabolized by CYP1A2 (major) and glucuronidation (UGT1A4).,""
68779,In vitro and in vivo studies suggest that enfuvirtide is unlikely to have significant drug interactions with drugs metabolised by CYP450 enzymes. No drug interactions with other antiretroviral medications have been identified that would warrant dose alteration of either drug. ,""
69165,"Halofantrine is extensively metabolized by CYP3A4. Inhibition of halofantrine metabolism could potentially prolong the QT interval. Given the narrow therapeutic index of this drug, combination with PIs is contraindicated. ",""
69176,"Mycophenolate mofetil is a prodrug of mycophenolic acid (MPA). MPA undergoes glucuronidation; coadministration of inducers or inhibitors of glucuronidation, such as some PIs and NNRTIs, could alter mycophenolate levels. Concentration monitoring of mycophenolate is recommended. ",""
69179,"Lumefantrine is metabolised predominantly by CYP3A4. Caution is recommended when combining lumefantrine with drugs exhibiting variable patterns of inhibition, induction or competition for CYP3A4 as the therapeutic effects could be altered. ",""
69225,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Valaciclovir is converted to aciclovir which is eliminated renally via glomerular filtration and active renal secretion by OAT1.,""
69201,"Results from in vitro and in vivo studies show that rosuvastatin is neither an inhibitor nor an inducer of cytochrome P450 isoenzymes. In addition, rosuvastatin is a poor substrate for these isoenzymes. Drug interactions resulting from cytochrome P450-mediated metabolism are not expected. ",""
69285,"Coadministration may increase plasma levels of artemisinins. Close monitoring for artemisinin toxicity required. Artemisinin and derivatives are rapidly metabolized via CYP3A4 to an active metabolite, dihydroartemisinin which has greater potency than the parent drugs. Inhibition of CYP3A4 would reduce dihydroartemisinin, but increase concentrations of the parent drug. The effects of PIs and NNRTIs are unclear. ",""
117223,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Triamcinolone is metabolized by CYP3A4. Dolutegravir is not expected to inhibit or induce CYP450 enzymes at clinically relevant concentrations. No interaction is expected with abacavir or lamivudine.,""
69309,Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Spironolactone is partly metabolized by the flavin containing monooxygenases.,""
69510,Coadministration has not been studied but based on metabolism and clearance a clinically significant&nbsp;interaction is unlikely. Tetracyclines are eliminated unchanged primarily by glomerular filtration.,""
69655,No significant interaction observed. ,""
114547,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Argatroban undergoes metabolism in the liver via hydroxylation and aromatization. In vitro studies indicate that CYP3A4 plays a role in argatroban metabolism, however, human drug-drug interactions studies suggest that metabolism via CYP3A4 is not a major elimination pathway in vivo. Erythromycin (a strong CYP3A4 inhibitor) had no effect on argatroban pharmacokinetics and pharmacodynamics and an interaction with atazanavir/cobicistat is unlikely.",""
103776,Coadministration is contraindicated due to the potential for serious reactions such as myopathy including rhabdomyolysis. Simvastatin is metabolised by CYP3A4 and coadministration may increase concentrations.,""
69595,Coadministration with didanosine gastro-resistant capsules has not been studied.&nbsp;Coadministration of trimethoprim and didanosine buffered tablets had no effect on didanosine AUC but increased Cmax by 17%; trimethoprim AUC increased by 10% and Cmax decreased by 22%. Coadministration of sulfamethoxazole and didanosine buffered tablets had no effect on didanosine AUC or Cmax; sulfamethoxazole AUC and Cmax decreased by 11% and 12%. No dose adjustment is necessary.,""
69600,No interaction with didanosine gastro-resistant capsules (Videx EC). Other formulations may require dose separation. ,""
69612,Coadministration of indinavir (800 mg single dose) and didanosine gastro-resistant capsules (400 mg single dose) had no effect on indinavir AUC or Cmax. Enteric-coated didanosine can be administered without any restrictions with respect to time of administration or food. Other formulations of didanosine should be administered at least one hour apart on an empty stomach.,""
103365,Coadministration is contraindicated as it may increase astemizole concentrations which may increase potential serious and/or life-threatening adverse reactions such as cardiac arrhythmias.,""
102915,Coadministration is contraindicated as it may increase cisapride concentrations which may increase potential serious and/or life-threatening adverse reactions such as cardiac arrhythmias.,""
69698,No clinically significant drug interactions were observed when tenofovir-DF was coadminstered with oral contraceptives (ethinylestradiol/norgestimate).,""
102791,Coadministration of triazolam and atazanavir is contraindicated due to potential for serious and/or life threatening events such as prolonged or increased sedation or respiratory depression.,""
70401,"Coadministration has not been studied, but based on metabolism and clearance a clinically significant interaction is unlikely as bupropion is primarily metabolized by CYP2B6.",""
102665,Coadministration of ergotamine and atazanavir is contraindicated due to potential for serious and/or life threatening events such as acute ergot toxicity.,""
103375,Coadministration of dihydroergotamine and atazanavir is contraindicated due to potential for serious and/or life threatening events such as acute ergot toxicity.,""
69744,"Concomitant treatment, especially acute therapy, with potentially nephrotoxic or myelosuppressive drugs (e.g. vincristine) may also increase the risk of adverse reactions to zidovudine. Monitor renal function and haematological parameters and consider dose reduction if required.",""
69739,"Concomitant treatment, especially acute therapy, with potentially nephrotoxic or myelosuppressive drugs (e.g. flucytosine) may also increase the risk of adverse reactions to zidovudine. Monitor renal function and haematological parameters and consider dose reduction if required.",""
69743,"Concomitant treatment, especially acute therapy, with potentially nephrotoxic or myelosuppressive drugs (e.g. vinblastine) may also increase the risk of adverse reactions to zidovudine.Monitor renal function and haematological parameters and consider dose reduction if required.",""
69747,Coadministration of nevirapine (200 mg twice daily) with zidovudine (100-200 mg three times daily) decreased zidovudine AUC (28%) and Cmax (30%). There was no significant effect on nevirapine pharmacokinetics. No dosage adjustments are recommended. Granulocytopenia is commonly associated with zidovudine. Haematological parameters should be carefully monitored in patients receiving nevirapine and zidovudine and who have an increased risk of granulocytopenia.,""
69750,Coadministration with didanosine gastro-resistant capsules has not been studied. Coadministration with didanosine buffered tablets had no effect on didanosine AUC and Cmax; zidovudine AUC and Cmax decreased by 10% and 17%. No dose adjustment is necessary.,""
69755,No significant interaction was observed&nbsp;when zidovudine (500 mg/day) and aciclovir were coadministered to 20 HIV-infected subjects.,""
103438,"Coadministration of nevirapine with atazanavir/ritonavir is contraindicated as it increases nevirapine exposure and decreases atazanavir exposure. There is potential risk for nevirapine-associated toxicity due to increased nevirapine exposures, whereas the decreased atazanavir exposure may result in loss of therapeutic effect and development of resistance.",""
70103,Coadministration is contraindicated as it may increase astemizole concentrations which may increase potential serious and/or life-threatening adverse reactions such as cardiac arrhythmias. ,""
70127,Coadministration is contraindicated as it may increase cisapride concentrations which may increase potential serious and/or life-threatening adverse reactions such as cardiac arrhythmias. ,""
70148,Coadministration is contraindicated as it may increase dihydroergotamine concentrations which may increase potential serious and/or life-threatening adverse reactions such as acute ergot toxicity. ,""
70153,"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Doxorubicin is mainly eliminated in the bile and does not undergo CYP-mediated metabolism. Doxorubicin is a substrate of P-glycoprotein, however, coadministration with protease inhibitors did not modify significantly doxorubicin exposure.",""
70162,Coadministration is contraindicated as it may increase ergometrine concentrations which may increase potential serious and/or life-threatening adverse reactions such as acute ergot toxicity. ,""
70163,Coadministration is contraindicated as it may increase ergotamine concentrations which may increase potential serious and/or life-threatening adverse reactions such as acute ergot toxicity. ,""
70179,"Coadministration has not been studied. Fluconazole is a moderate inhibitor of CYP3A4, however, drug interactions studies with other protease inhibitors showed no clinically significant interactions with fluconazole.",""
70207,"Coadministration is contraindicated as it is expected to markedly increase lovastatin concentrations which may cause myopathy, including rhabdomyolysis. ",""
70243,"Coadministration has not been studied but, based on metabolism and clearance, a clinically significant interaction is unlikely. Fosamprenavir is metabolised by CYP3A4. Peginterferon alfa-2a has no effect on CYP3A4. The metabolism of peginterferon alfa-2a is not fully characterized, however, studies in rats indicate that the kidney is a major organ for excretion.",""
70249,Coadministration is contraindicated as it may increase pimozide concentrations which may increase potential serious and/or life-threatening adverse reactions such as cardiac arrhythmias. ,""
70295,Coadministration is not recommended as it may increase triazolam concentrations which may increase potential serious and/or life-threatening adverse reactions such as prolonged sedation or respiratory depression. ,""
70275,"Coadministration is contraindicated as it is expected to markedly increase simvastatin concentrations which may cause myopathy, including rhabdomyolysis. ",""
70288,Coadministration is contraindicated as it may increase terfenadine concentrations which may increase potential serious and/or life-threatening adverse reactions such as cardiac arrhythmias. ,""
