Unique_identifier,Primary_drug_id,Primary_Drug,Primary_Drug_ES,drug_trade_names,drug_class_name,drug_class_name_ES,co_drug_id,Comedication,Comedication_ES,co_drug_trade_names,co_drug_class_name,co_drug_class_name_ES,Evidence_Grade,Interaction_Status,Interaction_Status_ES,Interaction_Status_color,site_type,Last_updated,Description,Summary,Summary_ES,created_at,updated_at
118121,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2488,Nitrous oxide,Óxido nitroso,"Niontix, Entonox",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Most inhaled nitrous oxide is rapidly eliminated unchanged through the lungs. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La mayor parte del óxido nitroso inhalado se elimina rápidamente sin cambios por vía pulmonar. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118122,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2481,Propofol,Propofol,"Anefol, Anepol, Anespro, Anesvan, Cryotol, Diprifol, Diprivan, Diprofol, Disoprivan, Fresofol, Gobbifol, Indufol, Lipuro, Oleo-Lax, Plofed, Pofol, Proanes, Profol, Profolen, Propoabbott, Propogen, Propolipid, Propovan, Propoven, Provive, Recofol, Safol, Trivam",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Propofol is glucuronidated via UGT1A9, UGT1A8 and is oxidized mainly via CYP2B6. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa.  El propofol se glucuronida a través de las UGT 1A9 y 1A8, y se oxida principalmente vía CYP2B6. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118123,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2482,Rocuronium,Rocuronio,"Eslax, Esmeron, Roculax, Rocuron, Roqurum, Zemuron",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Rocuronium is mostly cleared in the bile although up to 30% may be excreted renally. P-glycoprotein was shown to mediate biliary excretion of rocuronium in a rat model. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa.  El rocuronio se elimina principalmente en la bilis, aunque hasta el 30% puede excretarse por vía renal. En un modelo de rata, se demostró que la glicoproteína P media la excreción biliar del rocuronio. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118124,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2483,Sevoflurane,Sevoflurano,"Eraldin, Floves, Sevo, Sevocris, Sevocristalia, Sevorane, Sojourn, Sovener, Ultane",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Sevoflurane is almost exclusively eliminated unchanged by the lungs. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa.  El sevoflurano se elimina casi exclusivamente sin cambios por vía pulmonar. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118125,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2485,Sufentanil,Sufentanilo,"Disufen, Fastfen, Fentamorf, Fentatienil, Sufenta",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Sufentanil undergoes extensive CYP3A4 metabolism. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa.  El sufentanilo experimenta un extenso metabolismo del CYP3A4. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118126,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2484,Suxamethonium (Succinylcholine),Suxametonio (Succinilcolina),"Actirelax, Anectine, Anekcin, Anektil, Celocurin, Celocurine, Chlorsuccillin, Curacit, Curalest, Dithylin , Ectinex, Ethicholine, Ethicoline, Fosfitone, Lycitrope, Lysthenon, Midarine, Mioflex, Pantolax, Quelicin, Succi, Succinolin, Succitrat, Succnil Colin, Sukolin, Suxameton, Uxicolin",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Suxamethonium is hydrolysed by plasma cholinesterase. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. El suxametonio se hidroliza por la colinesterasa plasmática. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118127,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2489,Tetracaine,Tetracaína,"Ametop, Pontocaine",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Absorbed tetracaine is predominantly metabolized by pseudocholinesterases in the plasma. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La tetracaína absorbida se metaboliza predominantemente por pseudocolinesterasas en el plasma. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118128,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2490,Thiopental,Tiopental,Pentothal,Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. The isoenzymes involved in thiopental metabolism have not been identified. Pre-treatment with enzyme inducer (phenobarbital) or enzyme inhibitor (ethionine) did not modify the duration of surgical anaesthesia or sleep time after thiopental injection in animals. Thiopental action does not appear to be limited by metabolism, but is determined by slow thiopental release from fat deposits. Pentobarbital (formed during thiopental metabolism) undergoes hepatic metabolism. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. No se han identificado las isoenzimas involucradas en el metabolismo del tiopental. El pretratamiento con inductor enzimático (fenobarbital) o inhibidor enzimático (etionina) no modificó la duración de la anestesia quirúrgica ni el tiempo de sueño después de la inyección de tiopental en animales. La acción del tiopental no parece estar limitada por el metabolismo, sino que está determinada por su liberación lenta de los depósitos de grasa. El pentobarbital (formado durante el metabolismo del tiopental) sufre metabolismo hepático. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118129,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2338,Tizanidine,Tizanidina,"Zanaflex, Sirdalud",Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Tizanidine is metabolized by CYP1A2. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La tizanidina se metaboliza vía CYP1A2. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118130,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),2492,Vecuronium,Vecuronio,Norcuron,Anaesthetics and Muscle Relaxants,Anestésicos y relajantes musculares,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Vecuronium is partly deacetylated and partly cleared in the bile as parent compound. An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. El vecuronio en parte se desacetila y en parte se elimina en la bilis como compuesto original. Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
118131,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),1811,Alfentanil,Alfentanilo,"Rapifen, Alfenta",Analgesics,Analgésicos,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Alfentanil undergoes extensive CYP3A4 metabolism. Albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids. In vitro human microsomal studies and limited in vivo drug-drug interaction data indicate that albuvirtide has no inhibiting or inducing properties on P450 enzymes.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. El alfentanilo experimenta un extenso metabolismo del CYP3A4. La albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes. Los estudios microsómicos humanos in vitro y los datos limitados de interacción farmacológica in vivo indican que la albuvirtida no tiene propiedades inhibidoras o inductoras en las enzimas P450.",2020-03-06 13:29:00,NULL
118132,2847,Albuvirtide,Albuvirtida,Aikening,Antiretrovirals (Fusion Inhibitors),Antirretrovirales (Inhibidores de la fusión),1801,Aspirin (Analgesic),Aspirina (Analgésico),"Disprin, NuSeals, Anadin Analgesic, Anadin Extra, Anadin Original, Co-codaprin, Codis 500, Excedrin Migraine, Synalgos-DC, Percodan",Analgesics,Analgésicos,Very Low,No clinically significant interaction expected,No se espera interacción clínicamente significativa.,Green,hiv,"August 30, 2019 8:33",(See Summary),"Coadministration has not been studied but based on metabolism and clearance, as well as limited drug-drug interaction data, a clinically significant interaction is unlikely. Aspirin is rapidly deacetylated to form salicylic acid which is further glucuronidated by several UGTs (major UGT1A6). An interaction is unlikely as albuvirtide is a peptide which is eliminated by catabolism to its constituent amino acids.","No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, así como de los datos limitados sobre interacción farmacológica, es poco probable que ocurra una interacción clínicamente significativa. La aspirina se desacetila rápidamente para formar ácido salicílico, el cual se glucuronida aún más por medio de varias UGT (UGT1A6, la principal). Una interacción es poco probable ya que la albuvirtida es un péptido que se elimina por vía catabólica a sus aminoácidos constituyentes.",2020-03-06 13:29:00,NULL
