Unique_identifier,Primary_drug_id,Primary_Drug,drug_trade_names,drug_class_name,co_drug_id,Comedication,co_drug_trade_names,co_drug_class_name,Evidence_Grade,Interaction_Status,Interaction_Status_color,site_type,Last_updated,Description,Resumo,created_at,updated_at
118121,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2488,Nitrous oxide,"Niontix, Entonox",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A maioria do óxido nitroso inalado é rapidamente eliminado inalterado através dos pulmões. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118122,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2481,Propofol,"Anefol, Anepol, Anespro, Anesvan, Cryotol, Diprifol, Diprivan, Diprofol, Disoprivan, Fresofol, Gobbifol, Indufol, Lipuro, Oleo-Lax, Plofed, Pofol, Proanes, Profol, Profolen, Propoabbott, Propogen, Propolipid, Propovan, Propoven, Provive, Recofol, Safol, Trivam",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O propofol é glucuronidado por mediação da UGT1A9, UGT1A8 e é oxidado principalmente por mediação da CYP2B6. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118123,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2482,Rocuronium,"Eslax, Esmeron, Roculax, Rocuron, Roqurum, Zemuron",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O rocurônio é eliminado sobretudo na bílis, embora até 30% possa ser excretado renalmente. Foi demonstrado que a glucoproteína-P medeia na excreção biliar de rocurônio em um modelo de rato. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118124,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2483,Sevoflurane,"Eraldin, Floves, Sevo, Sevocris, Sevocristalia, Sevorane, Sojourn, Sovener, Ultane",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O sevoflurano é quase exclusivamente eliminado inalterado pelos pulmões. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118125,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2485,Sufentanil,"Disufen, Fastfen, Fentamorf, Fentatienil, Sufenta",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O sufentanil sofre metabolismo extensivo de CYP3A4. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118126,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2484,Suxamethonium (Succinylcholine),"Actirelax, Anectine, Anekcin, Anektil, Celocurin, Celocurine, Chlorsuccillin, Curacit, Curalest, Dithylin , Ectinex, Ethicholine, Ethicoline, Fosfitone, Lycitrope, Lysthenon, Midarine, Mioflex, Pantolax, Quelicin, Succi, Succinolin, Succitrat, Succnil Colin, Sukolin, Suxameton, Uxicolin",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O suxametônio é hidrolisado por colinesterase plasmática. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118127,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2489,Tetracaine,"Ametop, Pontocaine",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A tetracaína absorvida é predominantemente metabolizada por pseudo-colinesterases no plasma. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118128,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2490,Thiopental,Pentothal,Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. As isoenzimas envolvidas no metabolismo do tiopental não foram identificadas. O pré-tratamento com indutor enzimático (fenobarbital) ou inibidor enzimático (etionina) não modificou a duração da anestesia cirúrgica ou o tempo de sedação em animais após a injeção de tiopental. A ação do tiopental não parece estar limitada pelo metabolismo, mas está determinada pela lenta liberação do tiopental dos depósitos de gordura. O pentobarbital (formado durante o metabolismo do tiopental) sofre metabolismo hepático. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118129,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2338,Tizanidine,"Zanaflex, Sirdalud",Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A tizanidina é metabolizada pela CYP1A2. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118130,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),2492,Vecuronium,Norcuron,Anaesthetics and Muscle Relaxants,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O vecurônio é parcialmente desacetilado e parcialmente eliminado na bílis como composto principal. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118131,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1811,Alfentanil,"Rapifen, Alfenta",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O alfentanil sofre metabolismo extensivo de CYP3A4. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118132,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1801,Aspirin (Analgesic),"Disprin, NuSeals, Anadin Analgesic, Anadin Extra, Anadin Original, Co-codaprin, Codis 500, Excedrin Migraine, Synalgos-DC, Percodan",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A aspirina é rapidamente desacetilada para formar ácido salicílico que é ainda mais glucuronidado por várias UGTs (primariamente por UGT1A6). É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118133,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1812,Buprenorphine,"Subutex, Temgesic, Buprenex, Butrans, Bu Trans, Transtec",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A buprenorfina sofre tanto a N-dealquilação para formar norbuprenorfina (por mediação da CYP3A4) quanto a glucuronidação (por mediação da UGT2B7 e a UGT1A1). O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118134,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1823,Celecoxib,"Celebrex, Onsenal",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O celecoxib é essencialmente metabolizado pela CYP2C9. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118135,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1813,Codeine,"Co-codaprin, Codis 500, Co-Codamol, Codipar, Feminax, Kapake, Medocodene, Migraleve Duo, Migraleve Yellow, Panadeine, Panadol Ultra, Paracodol, Solpadeine Max, Solpadeine Plus, Solpadol, Tylex, Ultramol, Veganin, Zapain, Capital and Codeine, Cuprofen, Nurofen Plus, Solpadeine Migraine",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A codeína sofre predominantemente glucuronidação direta. A codeína também é um substrato de CYP2D6 (principal) e CYP3A4. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118136,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1803,Dextropropoxyphene,,Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O dextropropoxifeno foi retirado da maioria dos países europeus e da América do Norte devido ao risco de arritmias e mortos. O dextropropoxifeno é metabolizado pela CYP3A4. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118137,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1821,Diamorphine (diacetylmorphine),,Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A diamorfina é rapidamente metabolizada pela desacetilação sequencial formando morfina que é então principalmente glucuronidada formando morfina-3-glucuronida (UGT2B7>UGT1A1) e, em menor grau, formando a morfina-6-glucuronida (UGT2B7>UGT1A1) farmacologicamente ativa. É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118138,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1815,Diclofenac,"Dicloflex, Diclomax, Fenactol, Motifene, RheumaticRetard, Rhumalgan, Solaraze, Volsaid Retard, Voltarol, Cataflam, Difene, Voltarol Retard, Cambia, Flector, Pennsaid, Voltaren, Zipsor, Dyloject, Econac, Mobigel, Voltarol Emugel, Voltarol Optha, Arthrotec",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O diclofenaco é parcialmente glucuronidado pela UGT2B7 e parcialmente oxidado pela CYP2C9 (catalisa a principal via do metabolismo oxidativo do diclofenaco). O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118139,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1814,Dihydrocodeine,"DHC Continus, Co-dydramol, Paramol, Remedeine, Synalgos-DC",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A diidrocodeína é convertida em diidromorfina (metabólito ativo) por mediação da CYP2D6, em diidrocodeina-6-glucuronida através da UGT2B7 (principal via) e em nordiidrocodeína por mediação da CYP3A4. O efeito analgésico parece estar essencialmente relacionado com o composto principal. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118140,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1804,Fentanyl,"Abstral, Actiq, Effentora, Matrifen, Sublimaze, Instanyl, PecFent, Durogesic, Fentora, Lazanda, Onsolis, Fentalis, Mezolar Matrix, Osmanil, Victanyl, Bufyl",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O fentanil sofre metabolismo extensivo de CYP3A4. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118141,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1826,Hydrocodone,,Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A hidrocodona é metabolizada pela CYP2D6 formando hidromorfona e pela CYP3A4 formando norhidrocodona, ambos com efeitos analgésicos. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118142,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1825,Hydromorphone,"Palladone, Dilaudid, Exalgo",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A hidromorfona é eliminada através da glucuronidação (principalmente pela UGT2B7). É pouco provável uma interação, pois o albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes.",2020-03-06 13:29:00,NULL
118143,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1809,Ibuprofen,"Nuromol, Anadin Joint Pain, Anadin LiquiFast, Anadin Ultra, Brufen, Calprofen, Cuprofen, Cuprofen, Feminax Express, Fenpaed, Hedex Ibuprofen, Medifen, Nurofen, Advil Liquigels, Provin, Nurofen Plus, Solpadeine Migraine, Pedea, Advil, Advil Migraine Liqui-Gels, Caldolor, Duexis, Ibuprohm, Ibu-Tab, Midol Liquid Gels, Motrin IB, Motrin Migraine Pain, Neoprofen, Profen, Tab-Profen, Fenbid, Ibuderm, Ibugel, Ibuleve, Ibumousse, Ibuspray, Phorpain",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O ibuprofeno é metabolizado principalmente pela CYP2C9 e, em menor grau, pela CYP2C8 e pela glucuronidação direta. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118144,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1816,Mefenamic acid,"Ponstan, Ponstel",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. O ácido mefenâmico é metabolizado pela CYP2C9 e adicionalmente glucuronidado pela UGT2B7 e UGT1A9. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
118145,2847,Albuvirtide,Aikening,Antiretrovirals (Fusion Inhibitors),1805,Methadone,"Methadose, Metharose, Phymet DTF",Analgesics,Very Low,No clinically significant interaction expected,Green,hiv,"August 30, 2019 8:33",(See Summary),"A coadministração não foi estudada, mas com base no metabolismo e no clearance, bem como em dados limitados de interação entre medicamentos, é pouco provável uma interação clinicamente significativa. A metadona é metabolizada pela CYP3A4 e CYP2B6. O albuvirtide é um peptídeo que é eliminado pelo catabolismo a seus aminoácidos constituintes. Estudos in vitro de microssomal humano e dados limitados de interação entre medicamentos, in vivo, indicam que o albuvirtide não tem propriedades inibidoras ou indutoras sobre as enzimas do P450.",2020-03-06 13:29:00,NULL
