Summary_EN,Lista de Ids,Lista de Traducciones
Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as foscarnet is cleared mainly by glomerular filtration.,71219;81946;81946,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que el foscarnet se elimina principalmente por filtración glomerular.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción farmacológica clínicamente significativa ya que el foscarnet se elimina principalmente por filtración glomerular."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as pregabalin is cleared mainly by glomerular filtration.,73083;73081;73081;73085;73085,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que la pregabalina se elimina principalmente por filtración glomerular.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción farmacológica clínicamente relevante ya que la pregabalina se elimina principalmente por filtración glomerular."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Topotecan undergoes both hepatic and renal elimination. Hepatic elimination involves mainly non-enzymatic hydrolysis and, to a minor extent, CYP mediated N-demethylation as well as glucuronidation. Renal elimination is by both active secretion (mainly via OAT3) and glomerular filtration.",84040;96666;96666,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. No se ha estudiado la administración conjunta. El topotecán experimenta eliminación hepática y renal. La eliminación hepática involucra principalmente hidrólisis no enzimática y, en menor medida, N-desmetilación mediada por CYP, así como glucuronidación. La eliminación renal ocurre tanto por secreción activa (principalmente a través del OAT3) como por filtración glomerular.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. El topotecán experimenta eliminación hepática y renal. La eliminación hepática involucra principalmente hidrólisis no enzimática y, en menor medida, N-desmetilación mediada por CYP, así como glucuronidación. La eliminación renal ocurre tanto por secreción activa (principalmente a través del OAT3) como por filtración glomerular."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.&nbsp;,120570;69776;69776,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción farmacológica clínicamente significativa.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Although limited human data suggest biperiden undergoes hydroxylation in the liver, there are no known or documented interactions with other drugs that have an effect on metabolism or transport.",73943;74020;74020;74022;74022;74029;74029;98987;98987;85771;85771;86426;86426;74032;74032,"No se ha estudiado la administración conjunta. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. No está claro si el efavirenz podría reducir la exposición al biperideno mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. No está claro si la etravirina podría reducir la exposición al biperideno mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. No está claro si la nevirapina podría reducir la exposición al biperideno mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. No está claro si darunavir/cobicistat podrían aumentar la exposición a biperideno mediante la inhibición de la enzima CYP450. Es poco probable emtricitabina y tenofovir alafenamida interactúen con el metabolismo del biperideno.;No se ha estudiado la administración conjunta. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. No está claro si elvitegravir/cobicistat podría aumentar la exposición al biperideno mediante la inhibición de la enzima CYP450. Es poco probable emtricitabina y tenofovir alafenamida interactúen con el metabolismo del biperideno.;No se ha estudiado la administración conjunta. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. No está claro si elvitegravir/cobicistat podría aumentar la exposición a biperideno mediante la inhibición de la enzima CYP450. Es poco probable emtricitabina y tenofovir-DF interactúen con el metabolismo del biperideno.;No se ha estudiado la administración conjunta. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. No está claro si los inhibidores de la proteasa podrían aumentar la exposición al biperideno mediante la inhibición de la enzima CYP450."
"Coadministration has not been studied but based on limited information concerning the metabolism and clearance of biperiden, there is little potential for clinically significant interaction. Limited human data suggest biperiden undergoes hydroxylation in the liver.",73944;93807;93807;74019;74019;101236;101236;100823;100823;74027;74027;99780;99780;82132;82132;89252;89252,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. No se cuenta con un entendimiento completo sobre el metabolismo del biperideno, pero involucra la hidroxilación. Bictegravir no inhibe ni induce las enzimas CYP450. Emtricitabina y tenofovir alafenamida no interactúan con la vía metabólica del biperideno.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que el biperideno sufre hidroxilación en el hígado.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que el biperideno experimenta hidroxilación en el hígado. La doravirina no inhibe ni induce las enzimas CYP.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que el biperideno experimenta hidroxilación en el hígado. La doravirina no inhibe ni induce las enzimas CYP. Lamivudina y tenofovir-DF no interactúan con la vía metabólica del biperideno.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción clínicamente significativa ya que el biperideno sufre hidroxilación en el hígado y no hay evidencia de que inhiba o induzca el CYP3A4.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. El biperideno experimenta hidroxilación en el hígado y no existe evidencia de que inhiba o induzca el CYP3A4. No se espera que dolutegravir y rilpivirina inhiban o induzcan las enzimas CYP en concentraciones clínicamente relevantes.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable una interacción farmacológica clínicamente significativa ya que el biperideno experimenta hidroxilación en el hígado. No se espera que dolutegravir inhiba o induzca las enzimas CYP450 en concentraciones clínicamente relevantes.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. El metabolismo del biperideno se comprende de manera incompleta pero implica hidroxilación y no hay evidencia de que inhiba o induzca el CYP3A4 y, por lo tanto, es poco probable que afecte a la rilpivirina. Es poco probable emtricitabina y tenofovir alafenamida interactúen con el metabolismo del biperideno."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Tramadol is metabolized by CYPs 3A4, 2B6, and 2D6.",75702;96341;96341,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción farmacocinética. El tramadol se metaboliza por los CYP 3A4, 2B6 y 2D6.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. El tramadol se metaboliza por los CYP 3A4, 2B6 y 2D6."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%), although the exact pathway is not known. It is unlikely that CYP enzymes are involved in this process and no transporter interactions have been described. There is no evidence that bendroflumethiazide inhibits or induces CYP450 enzymes.",75729;75731;75731;75732;75732;75735;75735;75740;75740;75741;75741;75744;75744;102267;102267;97528;97528;96068;96068;75733;75733;102978;102978;103689;103689,"Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. No está claro si el efavirenz podría reducir la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. No está claro si la etravirina podría reducir la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si fosamprenavir/ritonavir podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si lopinavir/ritonavir podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si ritonavir podría aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si nelfinavir/ritonavir podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si tipranavir/ritonavir podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si atazanavir/cobicistat podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si darunavir/ritonavir podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si darunavir/cobicistat podría aumentar la exposición a bendroflumetiazida mediante la inhibición de la enzima CYP450.;Esta interacción no ha sido estudiada. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si indinavir o indinavir/ritonavir podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si atazanavir podría aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450.;No se ha estudiado la administración conjunta. La bendroflumetiazida se elimina principalmente por el metabolismo hepático, aunque se desconoce la vía exacta. Por lo tanto, no está claro si atazanavir/ritonavir podrían aumentar la exposición a la bendroflumetiazida mediante la inhibición de la enzima CYP450."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is eliminated by hepatic metabolism (70%, exact pathway not known) and excreted unchanged in the urine (30%) via OAT1 and OAT3. There is no evidence that bendroflumethiazide inhibits or induces CYP450 enzymes.",75736;101141;101141,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La bendroflumetiazida se elimina por metabolismo hepático (70%) y se excreta sin cambios en la orina (30%) a través del OAT1 y el OAT3. No hay evidencia de que la bendroflumetiazida inhiba o induzca las enzimas CYP450.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La bendroflumetiazida se elimina por metabolismo hepático (70%) y se excreta sin cambios en la orina (30%) a través del OAT1 y el OAT3. Además, la bendroflumetiazida no inhibe los efectos inductores sobre las enzimas metabolizadoras de fármacos."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is eliminated by hepatic metabolism (70%, exact pathway not known) and excreted unchanged in the urine (30%) via OAT1 and OAT3. In vitro data indicate that bendroflumethiazide inhibits these renal transporters but a clinically relevant drug interaction is unlikely in the range of observed clinical concentrations.",75745;75728;75728;96767;96767,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La bendroflumetiazida se elimina por metabolismo hepático (70%) y se excreta sin cambios en la orina (30%) a través del OAT1 y el OAT3. Los datos in vitro sugieren que la bendroflumetiazida inhibe estos transportadores renales, pero una interacción farmacológica clínicamente relevante es poco probable en el rango observado de concentraciones clínicas.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La bendroflumetiazida se elimina por metabolismo hepático (70%) y se excreta sin cambios en la orina (30%) a través del OAT1 y el OAT3. Los datos in vitro sugieren que la bendroflumetiazida inhibe estos transportadores renales, pero una interacción farmacológica clínicamente relevante es poco probable en el rango de concentraciones clínicas observadas."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Erythromycin is extensively metabolized in the liver.,76466;76464;76464;96385;96385,"No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción farmacológica clínicamente significativa. La eritromicina se metaboliza ampliamente en el hígado.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción clínicamente significativa. La eritromicina se metaboliza ampliamente en el hígado."
"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Halofantrine is extensively metabolized by CYP3A4 but rilpivirine at a dose of 25 mg once daily is unlikely to have a clinically relevant effect on the exposure of medicinal products metabolised by CYP enzymes. Rilpivirine has been associated with prolongation of the QTc interval at supra-therapeutic doses but these are unlikely to occur during coadministration with halofantrine. However, given the QT prolongation risk associated with halofantrine, caution is recommended.",77551;88900;88900,"La rilpivirina debe usarse con precaución cuando se administra conjuntamente con un fármaco con riesgo conocido de Torsade de Pointes. En sujetos sanos, se ha demostrado que las dosis supraterapéuticas de rilpivirina (75 mg una vez al día y 300 mg una vez al día) prolongan el intervalo QTc.;No se ha estudiado la administración conjunta pero, en función del metabolismo y el clearance, es poco probable que ocurra una interacción farmacocinética. La halofantrina se metaboliza ampliamente por CYP3A4, pero es poco probable que la rilpivirina a una dosis de 25 mg una vez al día tenga un efecto clínicamente relevante sobre la exposición de medicamentos metabolizados por las enzimas CYP. Sin embargo, la rilpivirina debe usarse con precaución cuando se administra conjuntamente con un medicamento con un riesgo conocido de Torsade de Pointes. En sujetos sanos, se ha demostrado que las dosis supraterapéuticas de rilpivirina (75 mg una vez al día y 300 mg una vez al día) prolongan el intervalo QTc. La emtricitabina y el tenofovir alafenamida no interactúan con la vía metabólica de halofantrina."
