Summary_EN,Lista de Ids,Lista de Traducciones
Coadministration has not been studied but based on the metabolism and clearance a clinically significant interaction is unlikely as foscarnet is cleared mainly by glomerular filtration.,71219;81946;81946,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração, já que o foscarnet é depurado principalmente pela filtração glomerular.;Não foi estudada a coadministração, mas é improvável uma interação medicamentosa clinicamente significativa baseada no metabolismo e na depuração, já que o foscarnet é depurado principalmente pela filtração glomerular."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely as pregabalin is cleared mainly by glomerular filtration.,73083;73081;73081;73085;73085,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração, já que a pregabalina é depurada principalmente pela filtração glomerular.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração, já que a pregabalina é depurada principalmente pela filtração glomerular. "
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Topotecan undergoes both hepatic and renal elimination. Hepatic elimination involves mainly non-enzymatic hydrolysis and, to a minor extent, CYP mediated N-demethylation as well as glucuronidation. Renal elimination is by both active secretion (mainly via OAT3) and glomerular filtration.",84040;96666;96666,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. Não foi estudada a coadministração. A topotecana sofre a eliminação renal e hepática. A eliminação hepática envolve principalmente hidrólise não enzimática e, em um menor grau, N-desmetilação mediada pelo CYP bem como glucuronidação. A eliminação renal é através da secreção ativa (principalmente via OAT3) e da filtração glomerular. ;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A topotecana sofre a eliminação renal e hepática. A eliminação hepática envolve principalmente hidrólise não enzimática e, em um menor grau, N-desmetilação mediada pelo CYP bem como glucuronidação. A eliminação renal é através da secreção ativa (principalmente via OAT3) e da filtração glomerular. "
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely.&nbsp;,120570;69776;69776,"A coadministração não foi estudada, mas com base no metabolismo e no clearance, é pouco provável uma interação clinicamente significativa.&nbsp;;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Although limited human data suggest biperiden undergoes hydroxylation in the liver, there are no known or documented interactions with other drugs that have an effect on metabolism or transport.",73943;74020;74020;74022;74022;74029;74029;98987;98987;85771;85771;86426;86426;74032;74032,"Não foi estudada a coadministração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação. Não se sabe se o efavirenz poderia diminuir a exposição ao biperideno através da indução da enzima do CYP450.;Não foi estudada a coadministração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação. Não se sabe se a etravirina poderia diminuir a exposição ao biperideno através da indução da enzima do CYP450.;Não foi estudada a coadministração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação. Não se sabe se o nevirapina poderia diminuir a exposição ao biperideno através da indução da enzima do CYP450.;Não foi estudada a coadministração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação. Não se sabe se o darunavir/cobicistate poderia aumentar a exposição ao biperideno pela inibição da enzima do CYP450. É improvável que a emtricitabina e o tenofovir alafenamida interajam com o metabolismo do biperideno. ;Não foi estudada a coadministração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação. Não é claro se o elvitegravir/cobicistate poderia aumentar a exposição ao biperideno através da inibição da enzima do CYP450. A emtricitabina e o tenofovir alafenamida provavelmente interagem com o metabolismo do biperideno. ;Não foi estudada esta coadministração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação.  Não é claro se o elvitegravir/cobicistate poderia aumentar a exposição ao biperideno através da inibição da enzima do CYP450. É improvável que a emtricitabina e o tenofovir-DF interajam com o metabolismo do biperideno.;Não foi estudada a coadministração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação. Não se sabe se os inibidores da protease poderiam aumentar a exposição ao biperideno através da inibição da enzima do CYP450."
"Coadministration has not been studied but based on limited information concerning the metabolism and clearance of biperiden, there is little potential for clinically significant interaction. Limited human data suggest biperiden undergoes hydroxylation in the liver.",73944;93807;93807;74019;74019;101236;101236;100823;100823;74027;74027;99780;99780;82132;82132;89252;89252,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação. O bictegravir não inibe ou induz as enzimas do P450; a emtricitabina e o tenofovir alafenamida não interagem com a via metabólica do biperideno.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa, baseada no metabolismo e na depuração, já que o biperidino sofre hidroxilação no fígado.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O biperideno sofre hidroxilação no fígado. A doravirina não inibe ou induz as enzimas do CYP.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração, já que o biperideno sofre hidroxilação no fígado. A doravirina não inibe ou induz as enzimas do CYP. O lamivudina e o tenofovir-DF não interagem com a via metabólica do biperideno.;Não foi estudada a coadministração, mas baseada no metabolismo e na depuração, é improvável uma interação clinicamente significativa, já que o biperideno sofre hidroxilação no fígado; não há evidências de que iniba nem induza o CYP3A4.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O biperideno sofre hidroxilação no fígado e não há evidência que iniba ou induza o CYP3A4. Não se espera que o dolutegravir e a rilpivirina inibam ou induzam as enzimas do CYP nas concentrações clinicamente relevantes. ;Não foi estudada a coadministração, mas é improvável uma interação medicamentosa clinicamente significativa baseada no metabolismo e na depuração, já que o biperidino sofre hidroxilação no fígado. Não se espera que o dolutegravir iniba ou induza as enzimas do CYP450 nas concentrações clinicamente relevantes.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O metabolismo do biperideno não é completamente entendido, mas envolve hidroxilação e não há evidência que iniba ou induza o CYP3A4 e, portanto, é improvável que impacte a rilpivirina. É improvável que a emtricitabina e o tenofovir alafenamida interajam com o metabolismo do biperideno."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Tramadol is metabolized by CYPs 3A4, 2B6, and 2D6.",75702;96341;96341,"Não foi estudada a coadministração, mas é improvável uma interação farmacocinética baseada no metabolismo e na depuração. O tramadol é metabolizado pelos CYPs 3A4, 2B6 e 2D6.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. O tramadol é metabolizado pelos CYPs 3A4, 2B6 e 2D6."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is mainly eliminated by hepatic metabolism (70%), although the exact pathway is not known. It is unlikely that CYP enzymes are involved in this process and no transporter interactions have been described. There is no evidence that bendroflumethiazide inhibits or induces CYP450 enzymes.",75729;75731;75731;75732;75732;75735;75735;75740;75740;75741;75741;75744;75744;102267;102267;97528;97528;96068;96068;75733;75733;102978;102978;103689;103689,"Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Não se sabe ao certo se o efavirenz poderia diminuir a exposição à bendroflumetiazida pela indução da enzima do CYP450.;Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não se sabe ao certo se a etravirina poderia diminuir a exposição à bendroflumetiazida pela indução da enzima do CYP450.;Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não se sabe ao certo se o fosamprenavir/ritonavir poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450.;Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não se sabe ao certo se o lopinavir/ritonavir poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450.;Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não se sabe ao certo se o ritonavir poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450.;Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não se sabe ao certo se o saquinavir/ritonavir poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450.;Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não se sabe ao certo se o tipranavir/ritonavir poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450.;Não foi estudada a coadministração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não fica claro se o atazanavir/cobicistate poderia aumentar a exposição à bendroflumetiazida via a inibição da enzima do CYP450.;Não foi estudada a coadministração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, ainda que não se conhece a via exata. Portanto, não está claro se o darunavir/ritonavir poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450.;Não foi estudada a coadministração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Não está, portanto, claro se o darunavir/cobicistate poderia aumentar a exposição à bendroflumetiazida via inibição da enzima do CYP450.;Não foi estudada esta interação. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não se sabe ao certo se o indinavir ou o indinavir/ritonavir poderia aumentar a exposição à bendroflumetiazida pela inibição da enzima do CYP450.;Não foi estudada a coadministração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não fica claro se o atazanavir poderia aumentar a exposição à bendroflumetiazida via a inibição da enzima do CYP450.;Não foi estudada a coadministração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático, mesmo que não seja conhecida a via exata. Portanto, não fica claro se o atazanavir/ritonavir poderia aumentar a exposição à bendroflumetiazida via a inibição da enzima do CYP450."
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is eliminated by hepatic metabolism (70%, exact pathway not known) and excreted unchanged in the urine (30%) via OAT1 and OAT3. There is no evidence that bendroflumethiazide inhibits or induces CYP450 enzymes.",75736;101141;101141,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A bendroflumetiazida é eliminada pelo metabolismo hepático (70 %) e excretada sem alterações na urina (30 %) pelos OAT1 e OAT3. Não há evidências que a bendroflumetiazida iniba nem induza as enzimas do CYP450.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático (70%) e excretada sem alterações na urina (30%) via OAT1 e OAT3. A bendroflumetiazida não tem efeitos indutores ou inibidores sobre as enzimas metabolizadoras do medicamento. "
"Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Bendroflumethiazide is eliminated by hepatic metabolism (70%, exact pathway not known) and excreted unchanged in the urine (30%) via OAT1 and OAT3. In vitro data indicate that bendroflumethiazide inhibits these renal transporters but a clinically relevant drug interaction is unlikely in the range of observed clinical concentrations.",75745;75728;75728;96767;96767,"Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A bendroflumetiazida é eliminada pelo metabolismo hepático (70 %) e excretada sem alterações na urina (30 %) pelos OAT1 e OAT3. Os dados in vitro indicam que a bendroflumetiazida inibe esses transportadores renais, mas é improvável uma interação medicamentosa clinicamente relevante na faixa das concentrações clínicas observadas.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A bendroflumetiazida é eliminada principalmente pelo metabolismo hepático (70%) e excretada sem alterações na urina (30%) via OAT1 e OAT3. Os dados in vitro indicam que a bendroflumetiazida inibe esses transportadores renais, mas é improvável uma interação medicamentosa clinicamente relevante na faixa das concentrações clínicas."
Coadministration has not been studied but based on metabolism and clearance a clinically significant interaction is unlikely. Erythromycin is extensively metabolized in the liver.,76466;76464;76464;96385;96385,"Não foi estudada a coadministração, mas é improvável uma interação medicamentosa clinicamente significativa baseada no metabolismo e na depuração. A eritromicina é metabolizada extensamente no fígado.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A eritromicina é extensamente metabolizada no fígado."
"Coadministration is contraindicated as significant decreases in rilpivirine plasma concentrations may occur. When rilpivirine (150 mg once daily) and omeprazole (20 mg once daily) were coadministered, rilpivirine exposure decreased by ~40% and omeprazole exposure decreased by ~14%. [Note: this interaction study has been performed with a dose higher than the licensed dose for rilpivirine assessing the maximal effect on the co-administered drug. The recommendation is applicable to the licensed dose of rilpivirine 25 mg once daily.]",77474;89115,"A coadministração é contraindicada, já que podem acontecer diminuições significativas nas concentrações plasmáticas da rilpivirina. Ao coadministrar a rilpivirina (150 mg uma vez ao dia) com o omeprazol (20 mg uma vez ao dia), a exposição à rilpivirina diminuiu ~40% e a exposição ao omeprazol diminuiu ~14%. [Obs.: este estudo da interação foi realizado com uma dose maior do que a dose autorizada para a rilpivirina, avaliando o efeito máximo sobre o medicamento coadministrado. A recomendação é aplicável à dose autorizada de 25 mg da rilpivirina uma vez ao dia]. ;A coadministração é contraindicada, já que podem ocorrer diminuições significativas nas concentrações plasmáticas da rilpivirina.  Ao coadministrar a rilpivirina (150 mg uma vez ao dia) com o omeprazol (20 mg uma vez ao dia), a exposição à rilpivirina diminuiu ~40% e a exposição ao omeprazol diminuiu ~14%. [Obs.: este estudo da interação foi realizado com uma dose maior do que a dose autorizada para a rilpivirina avaliando o máximo efeito sobre o medicamento coadministrado. A recomendação da dosagem é aplicável à dose autorizada da rilpivirina 25 mg uma vez ao dia]. "
"Coadministration has not been studied but based on metabolism and clearance a pharmacokinetic interaction is unlikely. Halofantrine is extensively metabolized by CYP3A4 but rilpivirine at a dose of 25 mg once daily is unlikely to have a clinically relevant effect on the exposure of medicinal products metabolised by CYP enzymes. Rilpivirine has been associated with prolongation of the QTc interval at supra-therapeutic doses but these are unlikely to occur during coadministration with halofantrine. However, given the QT prolongation risk associated with halofantrine, caution is recommended.",77551;88900;88900,"A rilpivirina deveria ser coadministrada com cautela com um medicamento com um risco conhecido de Torsade de Pointes.  Em indivíduos saudáveis, as doses supraterapêuticas da rilpivirina (75 mg uma vez ao dia e 300 mg uma vez ao dia) mostraram que prolongam o intervalo QTc.;Não foi estudada a coadministração, mas é improvável uma interação clinicamente significativa baseada no metabolismo e na depuração. A halofantrina é extensivamente metabolizada pelo CYP3A4, mas é improvável que a rilpivirina na dose de 25 mg uma vez ao dia surta um efeito clinicamente relevante na exposição dos produtos medicinais metabolizados pelas enzimas do CYP. Contudo, coadministrar com cautela a rilpivirina com um medicamento com um risco conhecido de Torsade de Pointes. Em indivíduos saudáveis, foi mostrado que doses supraterapêuticas da rilpivirina (75 mg uma vez ao dia e 300 mg uma vez ao dia) prolongam o intervalo QTc. A emtricitabina e o tenofovir alafenamida não interagem com a via metabólica da halofantrina."
